eje_x,aspirin_ftir,aspirin_raman
741,0.0011124285664238,
742,0.0010842928051012,
743,0.0010562075490291,
744,0.0010282061780775,
745,0.0010003210424233,
746,0.0009725834100074,
747,0.0009450234187415,
748,0.000917670033513,
749,0.0008905510080125,
750,0.0008636928513907,
751,0.0008371207997274,
752,0.0008108587922755,
753,0.0007849294524255,
754,0.0007593540733144,
755,0.0007341526079872,
756,0.0007093436640033,
757,0.0006849445023597,
758,0.0006609710405966,
759,0.0006374378599291,
760,0.0006143582162421,
761,0.0005917440547735,
762,0.0005696060282996,
763,0.0005479535186295,
764,0.0005267946612082,
765,0.0005061363726224,
766,0.0004859843807959,
767,0.000466343257663,
768,0.0004472164541003,
769,0.0004286063369006,
770,0.0004105142275705,
771,0.0003929404427348,
772,0.0003758843359332,
773,0.0003593443405971,
774,0.0003433180139995,
775,0.0003278020819749,
776,0.000312792484211,
777,0.0002982844199232,
778,0.0002842723937256,
779,0.0002707502615239,
780,0.0002577112762613,
781,0.0002451481333567,
782,0.0002330530156862,
783,0.000221417637964,
784,0.0002102332903925,
785,0.0001994908814574,
786,0.0001891809797569,
787,0.0001792938547593,
788,0.0001698195163994,
789,0.0001607477534276,
790,0.0001520681704393,
791,0.0001437702235203,
792,0.0001358432544545,
793,0.0001282765234468,
794,0.000121059240325,
795,0.000114180594194,
796,0.00010762978152,
797,0.0001013960326348,
798,9.54686366542271e-05,
799,8.983696481389522e-05,
800,8.449049223108869e-05,
801,7.941881810832711e-05,
802,7.461168439969379e-05,
803,7.005899296640085e-05,
804,6.575082125297769e-05,
805,6.167743651991421e-05,
806,5.7829308672533095e-05,
807,5.419712172951502e-05,
808,5.077178397753541e-05,
809,4.754443686124011e-05,
810,4.450646266007108e-05,
811,4.1649491005317405e-05,
812,3.896540429235281e-05,
813,3.644634204410807e-05,
814,3.408470428267797e-05,
815,3.187315396642851e-05,
816,2.980461855012643e-05,
817,2.787229072551148e-05,
818,2.606962839932608e-05,
819,2.4390353965178635e-05,
820,2.28284529247554e-05,
821,2.1378171912799657e-05,
822,2.003401617902331e-05,
823,1.879074657867952e-05,
824,1.7643376121924452e-05,
825,1.6587166130405455e-05,
826,1.561762204765788e-05,
827,1.4730488947995396e-05,
828,1.392174678656775e-05,
829,1.3187605431197791e-05,
830,1.2524499514518437e-05,
831,1.192908314277843e-05,
832,1.1398224495540508e-05,
833,1.0929000348336736e-05,
834,1.0518690548187524e-05,
835,1.0164772469758175e-05,
836,9.86491547782088e-06,
837,9.616975419608316e-06,
838,9.418989168622766e-06,
839,9.26916923948054e-06,
840,9.16589849144898e-06,
841,9.10772493647175e-06,
842,9.093356665678846e-06,
843,9.121656906661264e-06,
844,9.191639222121363e-06,
845,9.30246285894784e-06,
846,9.453428255251928e-06,
847,9.643972711477872e-06,
848,9.873666230361578e-06,
849,1.0142207529233196e-05,
850,1.04494202269788e-05,
851,1.079524920685204e-05,
852,1.1179757155299185e-05,
853,1.1603121275985874e-05,
854,1.2065630177326031e-05,
855,1.256768093099365e-05,
856,1.3109776298132094e-05,
857,1.369252211929557e-05,
858,1.4316624863521486e-05,
859,1.4982889331365523e-05,
